Reading,Temperature,Humidity
1,33.8,30.0
2,33.8,31.0
3,33.3,31.0
4,33.3,31.0
5,33.3,31.0
6,32.8,32.0
7,32.8,32.0
8,32.3,32.0
9,32.3,32.0
10,32.3,32.0
11,31.8,32.0
12,31.8,32.0
13,31.8,33.0
14,31.8,33.0
15,31.8,33.0
16,31.8,33.0
17,31.8,33.0
18,31.8,33.0
19,31.8,33.0
20,31.8,33.0
21,31.8,33.0
22,31.3,33.0
23,31.6,33.0
24,31.8,34.0
25,31.8,34.0
26,31.8,34.0
27,31.8,33.0
28,31.8,33.0
29,31.3,33.0
30,31.3,34.0
31,31.3,34.0
32,31.3,34.0
33,31.3,34.0
34,31.3,34.0
35,31.8,34.0
36,31.7,34.0
37,31.3,34.0
38,31.3,34.0
39,31.3,34.0
40,31.3,34.0
41,31.3,34.0
42,31.3,34.0
43,31.3,34.0
44,31.3,34.0
45,31.3,34.0
46,31.3,34.0
47,31.3,34.0
48,31.3,34.0
49,31.3,34.0
50,31.3,34.0
51,31.3,34.0
52,31.3,34.0
53,31.3,34.0
54,31.3,34.0
55,31.3,34.0
56,31.3,34.0
57,31.3,34.0
58,31.3,34.0
59,31.3,34.0
60,31.3,34.0
61,31.3,34.0
62,31.3,34.0
63,31.3,34.0
64,31.3,34.0
65,31.3,34.0
66,31.3,34.0
67,31.3,34.0
68,31.3,34.0
69,31.3,34.0
70,31.3,34.0
71,31.3,34.0
72,31.3,34.0
73,31.3,34.0
74,31.3,34.0
75,31.3,34.0
76,31.3,34.0
77,31.3,34.0
78,31.3,34.0
79,31.3,34.0
80,31.3,34.0
81,31.3,35.0
82,31.3,34.0
83,31.3,34.0
84,31.3,34.0
85,31.3,34.0
86,30.8,34.0
87,30.8,35.0
88,31.3,35.0
89,31.3,35.0
90,31.3,35.0
91,31.3,35.0
92,31.3,35.0
93,31.3,34.0
94,31.3,34.0
95,31.3,35.0
96,31.3,35.0
97,31.3,35.0
98,31.3,35.0
99,31.3,35.0
100,31.3,34.0
101,31.3,34.0
102,31.3,34.0
103,31.3,34.0
104,31.3,35.0
105,31.3,35.0
106,31.3,35.0
107,31.3,35.0
108,31.3,34.0
109,31.3,34.0
110,31.3,34.0
111,31.3,34.0
112,31.3,35.0
113,31.3,35.0
114,31.3,35.0
115,31.3,35.0
116,31.3,35.0
117,31.3,34.0
118,31.3,34.0
119,31.3,34.0
120,31.3,34.0
121,31.3,34.0
122,31.3,34.0
123,31.3,34.0
124,31.3,34.0
125,31.3,34.0
126,31.3,34.0
127,31.3,34.0
128,31.3,34.0
129,31.3,34.0
130,31.3,34.0
131,31.3,34.0
132,31.3,34.0
133,31.3,34.0
134,31.3,34.0
135,31.3,34.0
136,31.3,34.0
137,31.3,34.0
138,31.3,34.0
139,31.3,34.0
140,31.3,34.0
141,31.3,35.0
142,31.3,35.0
143,31.3,34.0
144,31.3,34.0
145,31.3,34.0
146,31.3,34.0
147,31.3,34.0
148,31.3,34.0
149,31.3,34.0
150,31.3,35.0
151,31.3,35.0
152,31.3,34.0
153,31.3,34.0
154,31.3,34.0
155,31.3,34.0
156,31.3,34.0
157,31.8,34.0
158,31.8,34.0
159,31.8,34.0
160,31.8,34.0
161,31.8,34.0
162,31.8,34.0
163,31.8,34.0
164,31.8,34.0
165,31.8,34.0
166,31.8,34.0
167,31.8,34.0
168,32.3,34.0
169,32.3,34.0
170,32.3,34.0
171,32.3,34.0
172,32.3,34.0
173,32.3,34.0
174,32.3,34.0
175,32.3,34.0
176,32.8,34.0
177,32.8,34.0
178,32.8,34.0
179,32.3,33.0
180,32.3,33.0
181,32.3,33.0
182,32.3,33.0
183,32.8,33.0
184,32.8,33.0
185,32.8,33.0
186,32.8,33.0
187,32.8,33.0
188,32.8,33.0
189,32.8,33.0
190,32.8,33.0
191,32.8,33.0
192,32.8,33.0
193,32.8,33.0
194,32.8,33.0
195,32.8,33.0
196,32.8,33.0
197,32.8,33.0
198,32.8,33.0
199,32.8,33.0
200,32.8,33.0
201,32.8,32.0
202,32.8,32.0
203,32.8,32.0
204,32.8,32.0
205,32.8,32.0
206,32.8,32.0
207,32.8,32.0
208,32.8,32.0
209,32.8,32.0
210,32.8,32.0
211,32.8,32.0
212,32.8,32.0
213,32.8,32.0
214,32.8,32.0
215,32.8,32.0
216,32.8,32.0
217,32.8,32.0
218,32.8,33.0
219,31.8,33.0
220,31.3,33.0
221,31.3,34.0
222,30.8,34.0
223,30.8,34.0
224,30.8,34.0
225,31.1,34.0
226,31.3,34.0
227,31.8,34.0
228,31.8,34.0
